name,group,sensitivity,type,default,default_redacted,target
SMTP_FROM_EMAIL,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
SMTP_HOST,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
SMTP_PASSWORD,gmail-email,segreta,Optional[str],,True,configure_if_consumed
SMTP_PORT,gmail-email,configurazione,Optional[int],587,False,configure_if_consumed
SMTP_USER,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
SMTP_USERNAME,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
STATIC_FILES_DIR,app-runtime,configurazione,Path,Path('static'),False,configure_if_consumed
SUMUP_API_BASE,integrazioni,configurazione,str,'https://api.sumup.com',False,configure_if_consumed
SUMUP_API_KEY,integrazioni,segreta,str,,True,configure_if_consumed
SUMUP_MERCHANT_CODE,integrazioni,configurazione,str,'',False,configure_if_consumed
TELEGRAM_BOT_TOKEN,integrazioni,segreta,Optional[str],,True,configure_if_consumed
TELEGRAM_CHAT_ID,integrazioni,configurazione,Optional[str],None,False,configure_if_consumed
TEMPLATES_DIR,app-runtime,configurazione,Path,Path('templates'),False,configure_if_consumed
UPLOAD_FOLDER,app-runtime,configurazione,Path,Path('uploads'),False,configure_if_consumed
VERBALE_TEST_ID,test-tooling,configurazione,,,False,configure_if_consumed
VERBALI_EMAIL_SCAN_HOUR,feature-job,configurazione,int,6,False,configure_if_consumed
VITE_BACKEND_URL,app-runtime,configurazione,,,False,configure_if_consumed
WHATSAPP_VERIFY_TOKEN,integrazioni,segreta,,,True,configure_if_consumed
